Record_ID,Location_Name,Location_Type,Country,ISO2,ISO3,Region,Admin1_Name,Latitude,Longitude,Timezone,Population,Population_Source,Population_Bamwor,Population_SimpleMaps,Population_Starting_List,Population_Size_Class,Capital_Classification,Country_GDP_Per_Capita_USD,Country_GDP_PPP_USD,OpenStreetMap_URL,Wikipedia_Search_URL,Image_Research_URL,Primary_Source,Starting_List_Included
11,Seoul,City / administrative seat,South Korea,KR,KOR,East and Southeast Asia,Seoul,37.566000,126.978400,Asia/Seoul,"21,794,000",SimpleMaps,"10,349,312","21,794,000",,10 million+,National capital,"50,400.00","2,607,000,000,000.00",https://www.openstreetmap.org/?mlat=37.566000&mlon=126.978400#map=10/37.566000/126.978400,https://en.wikipedia.org/w/index.php?search=Seoul%2C+South+Korea,https://commons.wikimedia.org/w/index.php?search=Seoul%2C+South+Korea&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
12,Mexico City,City / administrative seat,Mexico,MX,MEX,North America,Mexico City,19.428470,-99.127660,America/Mexico_City,"20,996,000",SimpleMaps,"12,294,193","20,996,000",,10 million+,National capital,"22,000.00","2,883,000,000,000.00",https://www.openstreetmap.org/?mlat=19.428470&mlon=-99.127660#map=10/19.428470/-99.127660,https://en.wikipedia.org/w/index.php?search=Mexico+City%2C+Mexico,https://commons.wikimedia.org/w/index.php?search=Mexico+City%2C+Mexico&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
13,Chengdu,City / administrative seat,China,CN,CHN,East and Southeast Asia,Sichuan,30.666670,104.066670,Asia/Shanghai,"20,937,757",Uploaded starting list,"13,568,357","11,309,000","20,937,757",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=30.666670&mlon=104.066670#map=10/30.666670/104.066670,https://en.wikipedia.org/w/index.php?search=Chengdu%2C+China,https://commons.wikimedia.org/w/index.php?search=Chengdu%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
14,Cairo,City / administrative seat,Egypt,EG,EGY,Africa,Cairo,30.062630,31.249670,Africa/Cairo,"19,372,000",SimpleMaps,"9,606,916","19,372,000",,10 million+,National capital,"16,800.00","1,958,000,000,000.00",https://www.openstreetmap.org/?mlat=30.062630&mlon=31.249670#map=10/30.062630/31.249670,https://en.wikipedia.org/w/index.php?search=Cairo%2C+Egypt,https://commons.wikimedia.org/w/index.php?search=Cairo%2C+Egypt&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
15,New York City,City / populated place,United States,US,USA,North America,New York,40.714270,-74.005970,America/New_York,"18,713,220",SimpleMaps,"8,804,190","18,713,220",,10 million+,Not classified as capital,"75,500.00","25,676,000,000,000.00",https://www.openstreetmap.org/?mlat=40.714270&mlon=-74.005970#map=10/40.714270/-74.005970,https://en.wikipedia.org/w/index.php?search=New+York+City%2C+United+States,https://commons.wikimedia.org/w/index.php?search=New+York+City%2C+United+States&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
16,Shenzhen,City / administrative seat,China,CN,CHN,East and Southeast Asia,Guangdong,22.545540,114.068300,Asia/Shanghai,"17,619,000",Uploaded starting list,"17,494,398","15,929,000","17,619,000",10 million+,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=22.545540&mlon=114.068300#map=10/22.545540/114.068300,https://en.wikipedia.org/w/index.php?search=Shenzhen%2C+China,https://commons.wikimedia.org/w/index.php?search=Shenzhen%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
17,Kolkata,City / administrative seat,India,IN,IND,South Asia,West Bengal,22.562630,88.363040,Asia/Kolkata,"17,560,000",SimpleMaps,"4,631,392","17,560,000",,10 million+,First-order administrative capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=22.562630&mlon=88.363040#map=10/22.562630/88.363040,https://en.wikipedia.org/w/index.php?search=Kolkata%2C+India,https://commons.wikimedia.org/w/index.php?search=Kolkata%2C+India&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
18,Moscow,City / administrative seat,Russia,RU,RUS,Central Asia,Moscow,55.752040,37.617810,Europe/Moscow,"17,332,000",Uploaded starting list,"10,381,222","17,125,000","17,332,000",10 million+,National capital,"41,700.00","6,089,000,000,000.00",https://www.openstreetmap.org/?mlat=55.752040&mlon=37.617810#map=10/55.752040/37.617810,https://en.wikipedia.org/w/index.php?search=Moscow%2C+Russia,https://commons.wikimedia.org/w/index.php?search=Moscow%2C+Russia&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
19,Bangkok,City / administrative seat,Thailand,TH,THA,East and Southeast Asia,Bangkok,13.753980,100.501440,Asia/Bangkok,"17,066,000",SimpleMaps,"5,104,476","17,066,000",,10 million+,National capital,"21,700.00","1,558,000,000,000.00",https://www.openstreetmap.org/?mlat=13.753980&mlon=100.501440#map=10/13.753980/100.501440,https://en.wikipedia.org/w/index.php?search=Bangkok%2C+Thailand,https://commons.wikimedia.org/w/index.php?search=Bangkok%2C+Thailand&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
20,Buenos Aires,City / administrative seat,Argentina,AR,ARG,South America,Buenos Aires F.D.,-34.613150,-58.377230,America/Argentina/Buenos_Aires,"16,157,000",SimpleMaps,"2,891,082","16,157,000",,10 million+,National capital,"26,500.00","1,213,000,000,000.00",https://www.openstreetmap.org/?mlat=-34.613150&mlon=-58.377230#map=10/-34.613150/-58.377230,https://en.wikipedia.org/w/index.php?search=Buenos+Aires%2C+Argentina,https://commons.wikimedia.org/w/index.php?search=Buenos+Aires%2C+Argentina&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
21,Kinshasa,City / administrative seat,Democratic Republic of the Congo,CD,COD,Africa,Kinshasa,-4.327580,15.313570,Africa/Kinshasa,"16,000,000",Bamwor,"16,000,000","13,528,000",,10 million+,National capital,"1,500.00","164,367,000,000.00",https://www.openstreetmap.org/?mlat=-4.327580&mlon=15.313570#map=10/-4.327580/15.313570,https://en.wikipedia.org/w/index.php?search=Kinshasa%2C+Democratic+Republic+of+the+Congo,https://commons.wikimedia.org/w/index.php?search=Kinshasa%2C+Democratic+Republic+of+the+Congo&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
22,Istanbul,City / administrative seat,Türkiye,TR,TUR,Middle East,Istanbul,41.013840,28.949660,Europe/Istanbul,"15,701,602",Bamwor,"15,701,602","15,154,000",,10 million+,First-order administrative capital,"35,300.00","3,018,000,000,000.00",https://www.openstreetmap.org/?mlat=41.013840&mlon=28.949660#map=10/41.013840/28.949660,https://en.wikipedia.org/w/index.php?search=Istanbul%2C+T%C3%BCrkiye,https://commons.wikimedia.org/w/index.php?search=Istanbul%2C+T%C3%BCrkiye&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
23,Dhaka,City / administrative seat,Bangladesh,BD,BGD,South Asia,Dhaka Division,23.710400,90.407440,Asia/Dhaka,"15,443,000",SimpleMaps,"10,356,500","15,443,000",,10 million+,National capital,"8,500.00","1,473,000,000,000.00",https://www.openstreetmap.org/?mlat=23.710400&mlon=90.407440#map=10/23.710400/90.407440,https://en.wikipedia.org/w/index.php?search=Dhaka%2C+Bangladesh,https://commons.wikimedia.org/w/index.php?search=Dhaka%2C+Bangladesh&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
24,Lagos,City / administrative seat,Nigeria,NG,NGA,Africa,Lagos,6.454070,3.394670,Africa/Lagos,"15,388,000",Bamwor,"15,388,000","15,279,000",,10 million+,Lower-order administrative capital,"5,700.00","1,318,000,000,000.00",https://www.openstreetmap.org/?mlat=6.454070&mlon=3.394670#map=10/6.454070/3.394670,https://en.wikipedia.org/w/index.php?search=Lagos%2C+Nigeria,https://commons.wikimedia.org/w/index.php?search=Lagos%2C+Nigeria&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
25,Osaka,City / administrative seat,Japan,JP,JPN,East and Southeast Asia,Osaka,34.693790,135.501070,Asia/Tokyo,"14,977,000",SimpleMaps,"2,753,862","14,977,000",,10 million+,First-order administrative capital,"46,100.00","5,715,000,000,000.00",https://www.openstreetmap.org/?mlat=34.693790&mlon=135.501070#map=10/34.693790/135.501070,https://en.wikipedia.org/w/index.php?search=Osaka%2C+Japan,https://commons.wikimedia.org/w/index.php?search=Osaka%2C+Japan&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
26,Karachi,City / administrative seat,Pakistan,PK,PAK,South Asia,Sindh,24.860800,67.010400,Asia/Karachi,"14,835,000",SimpleMaps,"11,624,219","14,835,000",,10 million+,First-order administrative capital,"5,500.00","1,390,000,000,000.00",https://www.openstreetmap.org/?mlat=24.860800&mlon=67.010400#map=10/24.860800/67.010400,https://en.wikipedia.org/w/index.php?search=Karachi%2C+Pakistan,https://commons.wikimedia.org/w/index.php?search=Karachi%2C+Pakistan&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
27,Tehran,City / administrative seat,Iran,IR,IRN,Middle East,Tehran,35.694390,51.421510,Asia/Tehran,"14,148,000",Uploaded starting list,"7,153,309","13,633,000","14,148,000",10 million+,National capital,"16,200.00","1,486,000,000,000.00",https://www.openstreetmap.org/?mlat=35.694390&mlon=51.421510#map=10/35.694390/51.421510,https://en.wikipedia.org/w/index.php?search=Tehran%2C+Iran,https://commons.wikimedia.org/w/index.php?search=Tehran%2C+Iran&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
28,Ho Chi Minh City,City / populated place,Vietnam,VN,VNM,East and Southeast Asia,Ho Chi Minh City (HCMC),10.823020,106.629650,Asia/Ho_Chi_Minh,"14,002,598",Bamwor,"14,002,598","13,312,000",,10 million+,First-order administrative capital,"14,400.00","1,456,000,000,000.00",https://www.openstreetmap.org/?mlat=10.823020&mlon=106.629650#map=10/10.823020/106.629650,https://en.wikipedia.org/w/index.php?search=Ho+Chi+Minh+City%2C+Vietnam,https://commons.wikimedia.org/w/index.php?search=Ho+Chi+Minh+City%2C+Vietnam&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
29,Tianjin,City / administrative seat,China,CN,CHN,East and Southeast Asia,Tianjin,39.142220,117.176670,Asia/Shanghai,"13,866,009",Uploaded starting list,"11,090,314","10,800,000","13,866,009",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=39.142220&mlon=117.176670#map=10/39.142220/117.176670,https://en.wikipedia.org/w/index.php?search=Tianjin%2C+China,https://commons.wikimedia.org/w/index.php?search=Tianjin%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
30,Bengaluru,City / administrative seat,India,IN,IND,South Asia,Karnataka,12.971940,77.593690,Asia/Kolkata,"13,707,000",SimpleMaps,"8,495,492","13,707,000",,10 million+,First-order administrative capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=12.971940&mlon=77.593690#map=10/12.971940/77.593690,https://en.wikipedia.org/w/index.php?search=Bengaluru%2C+India,https://commons.wikimedia.org/w/index.php?search=Bengaluru%2C+India&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
31,Lahore,City / administrative seat,Pakistan,PK,PAK,South Asia,Punjab,31.558000,74.350710,Asia/Karachi,"13,004,135",Bamwor,"13,004,135","11,021,000",,10 million+,First-order administrative capital,"5,500.00","1,390,000,000,000.00",https://www.openstreetmap.org/?mlat=31.558000&mlon=74.350710#map=10/31.558000/74.350710,https://en.wikipedia.org/w/index.php?search=Lahore%2C+Pakistan,https://commons.wikimedia.org/w/index.php?search=Lahore%2C+Pakistan&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
32,Los Angeles,City / administrative seat,United States,US,USA,North America,California,34.052230,-118.243680,America/Los_Angeles,"12,750,807",SimpleMaps,"3,820,914","12,750,807",,10 million+,Lower-order administrative capital,"75,500.00","25,676,000,000,000.00",https://www.openstreetmap.org/?mlat=34.052230&mlon=-118.243680#map=10/34.052230/-118.243680,https://en.wikipedia.org/w/index.php?search=Los+Angeles%2C+United+States,https://commons.wikimedia.org/w/index.php?search=Los+Angeles%2C+United+States&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
33,Suzhou,City / administrative seat,China,CN,CHN,East and Southeast Asia,Jiangsu,31.304080,120.595380,Asia/Shanghai,"12,748,262",Uploaded starting list,"6,715,559","5,250,000","12,748,262",10 million+,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=31.304080&mlon=120.595380#map=10/31.304080/120.595380,https://en.wikipedia.org/w/index.php?search=Suzhou%2C+China,https://commons.wikimedia.org/w/index.php?search=Suzhou%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
34,Wuhan,City / administrative seat,China,CN,CHN,East and Southeast Asia,Hubei,30.583330,114.266670,Asia/Shanghai,"12,447,718",Uploaded starting list,"10,392,693","8,962,000","12,447,718",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=30.583330&mlon=114.266670#map=10/30.583330/114.266670,https://en.wikipedia.org/w/index.php?search=Wuhan%2C+China,https://commons.wikimedia.org/w/index.php?search=Wuhan%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
35,Xi'an,City / administrative seat,China,CN,CHN,East and Southeast Asia,Shaanxi,34.258330,108.928610,Asia/Shanghai,"12,328,000",Uploaded starting list,"9,600,000","7,135,000","12,328,000",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=34.258330&mlon=108.928610#map=10/34.258330/108.928610,https://en.wikipedia.org/w/index.php?search=Xi%27an%2C+China,https://commons.wikimedia.org/w/index.php?search=Xi%27an%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
36,Rio de Janeiro,City / administrative seat,Brazil,BR,BRA,South America,Rio de Janeiro,-22.906420,-43.182230,America/Sao_Paulo,"12,272,000",SimpleMaps,"6,747,815","12,272,000",,10 million+,First-order administrative capital,"19,600.00","4,165,000,000,000.00",https://www.openstreetmap.org/?mlat=-22.906420&mlon=-43.182230#map=10/-22.906420/-43.182230,https://en.wikipedia.org/w/index.php?search=Rio+de+Janeiro%2C+Brazil,https://commons.wikimedia.org/w/index.php?search=Rio+de+Janeiro%2C+Brazil&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
37,Nanyang,City / administrative seat,China,CN,CHN,East and Southeast Asia,Henan,32.994720,112.532780,Asia/Shanghai,"12,010,000",SimpleMaps,"1,811,812","12,010,000","9,713,112",10 million+,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=32.994720&mlon=112.532780#map=10/32.994720/112.532780,https://en.wikipedia.org/w/index.php?search=Nanyang%2C+China,https://commons.wikimedia.org/w/index.php?search=Nanyang%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
38,Hangzhou,City / administrative seat,China,CN,CHN,East and Southeast Asia,Zhejiang,30.293650,120.161420,Asia/Shanghai,"11,936,010",Uploaded starting list,"9,236,032","6,446,000","11,936,010",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=30.293650&mlon=120.161420#map=10/30.293650/120.161420,https://en.wikipedia.org/w/index.php?search=Hangzhou%2C+China,https://commons.wikimedia.org/w/index.php?search=Hangzhou%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
39,Baoding,City / administrative seat,China,CN,CHN,East and Southeast Asia,Hebei,38.872880,115.462460,Asia/Shanghai,"11,860,000",SimpleMaps,"2,739,887","11,860,000","11,544,036",10 million+,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=38.872880&mlon=115.462460#map=10/38.872880/115.462460,https://en.wikipedia.org/w/index.php?search=Baoding%2C+China,https://commons.wikimedia.org/w/index.php?search=Baoding%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
40,Chennai,City / administrative seat,India,IN,IND,South Asia,Tamil Nadu,13.087840,80.278470,Asia/Kolkata,"11,324,000",SimpleMaps,"4,681,087","11,324,000",,10 million+,First-order administrative capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=13.087840&mlon=80.278470#map=10/13.087840/80.278470,https://en.wikipedia.org/w/index.php?search=Chennai%2C+India,https://commons.wikimedia.org/w/index.php?search=Chennai%2C+India&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
41,Paris,City / administrative seat,France,FR,FRA,Europe,Île-de-France,48.853410,2.348800,Europe/Paris,"11,020,000",SimpleMaps,"2,138,551","11,020,000",,10 million+,National capital,"54,500.00","3,732,000,000,000.00",https://www.openstreetmap.org/?mlat=48.853410&mlon=2.348800#map=10/48.853410/2.348800,https://en.wikipedia.org/w/index.php?search=Paris%2C+France,https://commons.wikimedia.org/w/index.php?search=Paris%2C+France&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
42,Linyi,City / administrative seat,China,CN,CHN,East and Southeast Asia,Shandong,35.063060,118.342780,Asia/Shanghai,"11,018,365",Uploaded starting list,"2,743,843","10,820,000","11,018,365",10 million+,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=35.063060&mlon=118.342780#map=10/35.063060/118.342780,https://en.wikipedia.org/w/index.php?search=Linyi%2C+China,https://commons.wikimedia.org/w/index.php?search=Linyi%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
43,London,City / administrative seat,United Kingdom,GB,GBR,Europe,England,51.508530,-0.125740,Europe/London,"10,979,000",SimpleMaps,"8,961,989","10,979,000",,10 million+,National capital,"52,500.00","3,636,000,000,000.00",https://www.openstreetmap.org/?mlat=51.508530&mlon=-0.125740#map=10/51.508530/-0.125740,https://en.wikipedia.org/w/index.php?search=London%2C+United+Kingdom,https://commons.wikimedia.org/w/index.php?search=London%2C+United+Kingdom&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
44,Shijiazhuang,City / administrative seat,China,CN,CHN,East and Southeast Asia,Hebei,38.041390,114.478610,Asia/Shanghai,"10,784,600",SimpleMaps,"3,938,513","10,784,600","4,098,244",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=38.041390&mlon=114.478610#map=10/38.041390/114.478610,https://en.wikipedia.org/w/index.php?search=Shijiazhuang%2C+China,https://commons.wikimedia.org/w/index.php?search=Shijiazhuang%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
45,Dongguan,City / administrative seat,China,CN,CHN,East and Southeast Asia,Guangdong,23.017970,113.748660,Asia/Shanghai,"10,646,000",Uploaded starting list,"9,644,871","7,981,000","10,646,000",10 million+,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=23.017970&mlon=113.748660#map=10/23.017970/113.748660,https://en.wikipedia.org/w/index.php?search=Dongguan%2C+China,https://commons.wikimedia.org/w/index.php?search=Dongguan%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
46,Harbin,City / administrative seat,China,CN,CHN,East and Southeast Asia,Heilongjiang,45.750000,126.650000,Asia/Shanghai,"10,635,971",Uploaded starting list,"5,242,897","4,458,000","10,635,971",10 million+,First-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=45.750000&mlon=126.650000#map=10/45.750000/126.650000,https://en.wikipedia.org/w/index.php?search=Harbin%2C+China,https://commons.wikimedia.org/w/index.php?search=Harbin%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
47,Qingdao,City / administrative seat,China,CN,CHN,East and Southeast Asia,Shandong,36.064880,120.380420,Asia/Shanghai,"10,071,722",Uploaded starting list,"7,172,451","5,775,000","10,071,722",10 million+,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=36.064880&mlon=120.380420#map=10/36.064880/120.380420,https://en.wikipedia.org/w/index.php?search=Qingdao%2C+China,https://commons.wikimedia.org/w/index.php?search=Qingdao%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
48,Zhoukou,City / administrative seat,China,CN,CHN,East and Southeast Asia,Henan,33.633330,114.633330,Asia/Shanghai,"9,901,000",SimpleMaps,"505,171","9,901,000","9,026,015",5–9.999 million,Lower-order administrative capital,"23,800.00","33,598,000,000,000.00",https://www.openstreetmap.org/?mlat=33.633330&mlon=114.633330#map=10/33.633330/114.633330,https://en.wikipedia.org/w/index.php?search=Zhoukou%2C+China,https://commons.wikimedia.org/w/index.php?search=Zhoukou%2C+China&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,TRUE
49,Lima,City / administrative seat,Peru,PE,PER,South America,Lima Province,-12.043180,-77.028240,America/Lima,"9,848,000",SimpleMaps,"7,737,002","9,848,000",,5–9.999 million,National capital,"15,700.00","535,911,000,000.00",https://www.openstreetmap.org/?mlat=-12.043180&mlon=-77.028240#map=10/-12.043180/-77.028240,https://en.wikipedia.org/w/index.php?search=Lima%2C+Peru,https://commons.wikimedia.org/w/index.php?search=Lima%2C+Peru&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
50,Hyderabad,City / administrative seat,India,IN,IND,South Asia,Telangana,17.384050,78.456360,Asia/Kolkata,"9,746,000",SimpleMaps,"6,993,262","9,746,000",,5–9.999 million,First-order administrative capital,"9,800.00","14,244,000,000,000.00",https://www.openstreetmap.org/?mlat=17.384050&mlon=78.456360#map=10/17.384050/78.456360,https://en.wikipedia.org/w/index.php?search=Hyderabad%2C+India,https://commons.wikimedia.org/w/index.php?search=Hyderabad%2C+India&title=Special:MediaSearch&type=image,Bamwor Global Cities Public,FALSE
